PedidoID,Data,Categoria,Produto,Quantidade,PrecoUnitario,Receita
1003,2025-01-16,Eletrônicos,Smartwatch,2,262.57,525.14
1248,2025-01-16,Eletrônicos,Caixa de Som,4,224.61,898.44
2183,2025-01-16,Casa e Decoração,Tapete,5,424.35,2121.75
2132,2025-01-17,Esporte,Tênis de Corrida,3,476.1,1428.3
1979,2025-01-17,Beleza,Shampoo,4,432.99,1731.96
1357,2025-01-17,Beleza,Creme Facial,4,475.44,1901.76
2332,2025-01-17,Beleza,Perfume,3,85.52,256.56
1579,2025-01-17,Esporte,Garrafa Térmica,3,433.86,1301.58
2450,2025-01-17,Esporte,Tênis de Corrida,4,236.06,944.24
1466,2025-01-18,Esporte,Tênis de Corrida,2,375.46,750.92
1673,2025-01-18,Beleza,Creme Facial,3,259.47,778.41
1704,2025-01-18,Casa e Decoração,Almofada,3,145.34,436.02
1901,2025-01-19,Beleza,Shampoo,5,449.11,2245.55
1638,2025-01-19,Beleza,Batom,2,174.46,348.92
1955,2025-01-19,Casa e Decoração,Luminária,1,488.31,488.31
1823,2025-01-19,Beleza,Perfume,1,400.06,400.06
1431,2025-01-19,Esporte,Luvas,2,469.57,939.14
1402,2025-01-20,Moda,Jaqueta,4,269.28,1077.12
1229,2025-01-20,Casa e Decoração,Tapete,1,66.65,66.65
1430,2025-01-20,Moda,Tênis,2,468.28,936.56
1294,2025-01-20,Eletrônicos,Carregador,3,56.83,170.49
2188,2025-01-20,Moda,Camiseta,4,262.88,1051.52
2083,2025-01-20,Beleza,Batom,1,394.46,394.46
2310,2025-01-21,Moda,Camiseta,5,200.54,1002.7
2047,2025-01-21,Esporte,Luvas,5,161.46,807.3
2340,2025-01-21,Esporte,Tênis de Corrida,4,274.94,1099.76
2064,2025-01-21,Eletrônicos,Carregador,1,473.41,473.41
2139,2025-01-21,Beleza,Batom,5,387.28,1936.4
1921,2025-01-21,Beleza,Creme Facial,1,99.84,99.84
1910,2025-01-21,Casa e Decoração,Almofada,5,324.11,1620.55
1075,2025-01-21,Casa e Decoração,Luminária,2,340.13,680.26
2432,2025-01-21,Eletrônicos,Carregador,4,75.55,302.2
1907,2025-01-21,Moda,Tênis,2,50.17,100.34
1296,2025-01-22,Esporte,Bola,3,310.4,931.2
2486,2025-01-22,Esporte,Tênis de Corrida,1,432.6,432.6
2297,2025-01-22,Esporte,Tênis de Corrida,2,407.41,814.82
2264,2025-01-22,Eletrônicos,Carregador,4,313.03,1252.12
1280,2025-01-22,Esporte,Tênis de Corrida,4,462.16,1848.64
2193,2025-01-23,Beleza,Perfume,3,244.1,732.3
1933,2025-01-23,Beleza,Batom,2,470.44,940.88
2150,2025-01-23,Moda,Jaqueta,5,438.23,2191.15
1087,2025-01-23,Esporte,Tênis de Corrida,5,464.28,2321.4
2321,2025-01-23,Eletrônicos,Carregador,3,120.6,361.8
1070,2025-01-23,Eletrônicos,Carregador,2,325.81,651.62
1336,2025-01-23,Esporte,Garrafa Térmica,3,378.71,1136.13
1803,2025-01-24,Eletrônicos,Smartwatch,2,177.76,355.52
1275,2025-01-24,Moda,Tênis,5,46.3,231.5
2194,2025-01-24,Eletrônicos,Carregador,1,297.23,297.23
1098,2025-01-24,Moda,Tênis,5,427.87,2139.35
1595,2025-01-25,Eletrônicos,Fone de Ouvido,4,27.82,111.28
1472,2025-01-25,Casa e Decoração,Tapete,5,172.99,864.95
1834,2025-01-25,Beleza,Batom,5,251.81,1259.05
1711,2025-01-26,Esporte,Luvas,2,46.16,92.32
2140,2025-01-26,Moda,Jaqueta,4,211.06,844.24
2161,2025-01-26,Eletrônicos,Caixa de Som,2,97.44,194.88
1389,2025-01-26,Casa e Decoração,Tapete,5,220.7,1103.5
1801,2025-01-26,Eletrônicos,Smartwatch,1,429.08,429.08
1301,2025-01-27,Casa e Decoração,Almofada,3,65.36,196.08
2152,2025-01-27,Esporte,Garrafa Térmica,3,370.48,1111.44
2323,2025-01-27,Beleza,Creme Facial,2,397.04,794.08
1244,2025-01-27,Moda,Tênis,5,74.55,372.75
1044,2025-01-28,Eletrônicos,Fone de Ouvido,4,369.54,1478.16
2403,2025-01-28,Casa e Decoração,Vaso,4,325.4,1301.6
1845,2025-01-28,Eletrônicos,Smartwatch,3,380.09,1140.27
1152,2025-01-28,Beleza,Shampoo,2,326.18,652.36
2445,2025-01-28,Eletrônicos,Caixa de Som,1,486.59,486.59
2381,2025-01-29,Beleza,Creme Facial,5,272.69,1363.45
1017,2025-01-29,Moda,Camiseta,3,212.56,637.68
1634,2025-01-29,Esporte,Bola,3,95.51,286.53
1468,2025-01-29,Moda,Jaqueta,2,411.58,823.16
2159,2025-01-29,Casa e Decoração,Almofada,2,429.84,859.68
1374,2025-01-29,Eletrônicos,Smartwatch,3,99.04,297.12
2272,2025-01-30,Beleza,Creme Facial,5,326.28,1631.4
1053,2025-01-30,Beleza,Perfume,3,47.44,142.32
1353,2025-01-30,Eletrônicos,Caixa de Som,3,266.28,798.84
1160,2025-01-31,Beleza,Perfume,2,320.25,640.5
1384,2025-01-31,Moda,Tênis,4,252.44,1009.76
2478,2025-01-31,Beleza,Creme Facial,3,241.99,725.97
1808,2025-01-31,Moda,Camiseta,4,457.39,1829.56
2278,2025-01-31,Casa e Decoração,Vaso,2,231.48,462.96
2227,2025-02-01,Casa e Decoração,Almofada,1,357.61,357.61
1471,2025-02-01,Beleza,Creme Facial,4,286.81,1147.24
1245,2025-02-02,Esporte,Luvas,3,266.35,799.05
1560,2025-02-02,Beleza,Perfume,5,109.74,548.7
2480,2025-02-02,Moda,Tênis,3,415.38,1246.14
1668,2025-02-03,Moda,Tênis,2,64.15,128.3
1018,2025-02-03,Moda,Jaqueta,2,334.61,669.22
2210,2025-02-03,Esporte,Tênis de Corrida,3,249.75,749.25
2472,2025-02-04,Beleza,Batom,4,120.67,482.68
1728,2025-02-04,Eletrônicos,Caixa de Som,5,210.73,1053.65
2057,2025-02-04,Eletrônicos,Smartwatch,2,439.28,878.56
2286,2025-02-05,Beleza,Creme Facial,1,204.52,204.52
1123,2025-02-05,Eletrônicos,Fone de Ouvido,2,115.69,231.38
1011,2025-02-05,Eletrônicos,Smartwatch,3,492.91,1478.73
2061,2025-02-06,Eletrônicos,Smartwatch,4,465.63,1862.52
2282,2025-02-06,Beleza,Shampoo,4,29.01,116.04
1371,2025-02-07,Moda,Jaqueta,1,235.99,235.99
1690,2025-02-07,Casa e Decoração,Tapete,5,68.5,342.5
1061,2025-02-07,Eletrônicos,Caixa de Som,5,499.26,2496.3
1099,2025-02-07,Esporte,Luvas,5,113.33,566.65
1156,2025-02-07,Beleza,Perfume,2,91.61,183.22
1878,2025-02-07,Casa e Decoração,Almofada,3,397.71,1193.13
2277,2025-02-07,Casa e Decoração,Almofada,4,206.52,826.08
1162,2025-02-08,Moda,Camiseta,4,236.24,944.96
1509,2025-02-08,Casa e Decoração,Almofada,2,465.81,931.62
1818,2025-02-08,Esporte,Garrafa Térmica,2,178.83,357.66
1047,2025-02-08,Esporte,Tênis de Corrida,1,333.03,333.03
1222,2025-02-08,Moda,Calça Jeans,4,484.29,1937.16
1656,2025-02-08,Moda,Calça Jeans,5,72.31,361.55
1449,2025-02-09,Beleza,Perfume,1,417.81,417.81
2081,2025-02-09,Casa e Decoração,Tapete,2,254.37,508.74
2473,2025-02-09,Casa e Decoração,Vaso,4,338.46,1353.84
2405,2025-02-09,Beleza,Creme Facial,2,387.05,774.1
1108,2025-02-09,Casa e Decoração,Luminária,3,181.21,543.63
2218,2025-02-09,Beleza,Batom,1,304.24,304.24
2412,2025-02-09,Eletrônicos,Smartwatch,1,250.17,250.17
2157,2025-02-10,Beleza,Perfume,2,443.44,886.88
1327,2025-02-10,Eletrônicos,Carregador,2,420.78,841.56
1376,2025-02-10,Casa e Decoração,Luminária,5,151.74,758.7
2417,2025-02-10,Esporte,Tênis de Corrida,1,29.03,29.03
2062,2025-02-10,Esporte,Tênis de Corrida,3,287.85,863.55
1285,2025-02-10,Esporte,Garrafa Térmica,3,126.35,379.05
1422,2025-02-10,Casa e Decoração,Tapete,3,378.72,1136.16
1504,2025-02-11,Eletrônicos,Fone de Ouvido,4,202.05,808.2
1448,2025-02-11,Beleza,Batom,5,357.81,1789.05
1324,2025-02-11,Casa e Decoração,Luminária,1,172.97,172.97
1898,2025-02-11,Casa e Decoração,Luminária,5,114.29,571.45
1055,2025-02-11,Moda,Camiseta,5,52.62,263.1
1348,2025-02-12,Esporte,Tênis de Corrida,4,309.18,1236.72
1519,2025-02-12,Casa e Decoração,Luminária,4,361.61,1446.44
1506,2025-02-12,Esporte,Luvas,3,291.61,874.83
2487,2025-02-12,Casa e Decoração,Vaso,1,452.28,452.28
1306,2025-02-13,Casa e Decoração,Tapete,3,410.33,1230.99
1526,2025-02-13,Beleza,Creme Facial,5,270.13,1350.65
1518,2025-02-13,Beleza,Shampoo,2,362.29,724.58
1334,2025-02-13,Beleza,Shampoo,1,477.63,477.63
2099,2025-02-13,Eletrônicos,Fone de Ouvido,2,475.49,950.98
1141,2025-02-13,Moda,Tênis,4,286.48,1145.92
1551,2025-02-13,Eletrônicos,Smartwatch,3,169.71,509.13
1652,2025-02-13,Beleza,Perfume,5,84.09,420.45
1257,2025-02-13,Eletrônicos,Caixa de Som,1,377.4,377.4
1956,2025-02-14,Casa e Decoração,Tapete,3,341.44,1024.32
1580,2025-02-14,Esporte,Tênis de Corrida,2,120.74,241.48
1136,2025-02-14,Casa e Decoração,Tapete,2,380.23,760.46
2387,2025-02-14,Moda,Tênis,4,405.77,1623.08
2244,2025-02-15,Moda,Tênis,1,348.36,348.36
2015,2025-02-15,Esporte,Garrafa Térmica,3,217.86,653.58
1429,2025-02-15,Beleza,Creme Facial,5,374.57,1872.85
1776,2025-02-15,Moda,Tênis,4,213.63,854.52
1739,2025-02-15,Moda,Tênis,2,458.45,916.9
2042,2025-02-15,Moda,Calça Jeans,4,63.87,255.48
2316,2025-02-15,Casa e Decoração,Vaso,4,22.19,88.76
1904,2025-02-16,Esporte,Garrafa Térmica,5,25.08,125.4
1295,2025-02-16,Beleza,Batom,4,298.56,1194.24
1521,2025-02-16,Eletrônicos,Carregador,4,192.76,771.04
2206,2025-02-17,Esporte,Tênis de Corrida,4,168.99,675.96
1969,2025-02-17,Esporte,Garrafa Térmica,1,286.18,286.18
2471,2025-02-17,Beleza,Perfume,5,181.68,908.4
2080,2025-02-17,Beleza,Batom,5,460.58,2302.9
1143,2025-02-17,Casa e Decoração,Luminária,4,352.06,1408.24
1861,2025-02-17,Casa e Decoração,Luminária,2,338.4,676.8
1478,2025-02-17,Beleza,Creme Facial,1,148.86,148.86
2006,2025-02-18,Eletrônicos,Caixa de Som,5,45.84,229.2
1507,2025-02-18,Beleza,Perfume,2,121.48,242.96
2035,2025-02-18,Beleza,Creme Facial,4,206.78,827.12
1255,2025-02-18,Casa e Decoração,Tapete,3,339.25,1017.75
2421,2025-02-19,Eletrônicos,Smartwatch,5,452.56,2262.8
1547,2025-02-20,Casa e Decoração,Luminária,5,378.49,1892.45
2427,2025-02-20,Moda,Tênis,3,355.1,1065.3
1253,2025-02-20,Eletrônicos,Smartwatch,4,236.75,947.0
2425,2025-02-20,Beleza,Perfume,5,124.16,620.8
2191,2025-02-20,Beleza,Creme Facial,2,367.79,735.58
2327,2025-02-20,Moda,Tênis,2,200.26,400.52
2266,2025-02-20,Casa e Decoração,Tapete,4,391.11,1564.44
1325,2025-02-20,Casa e Decoração,Luminária,2,38.39,76.78
1202,2025-02-20,Eletrônicos,Caixa de Som,2,353.12,706.24
1062,2025-02-21,Eletrônicos,Smartwatch,5,147.3,736.5
1982,2025-02-21,Casa e Decoração,Vaso,5,433.68,2168.4
1732,2025-02-21,Casa e Decoração,Vaso,4,146.79,587.16
1635,2025-02-22,Beleza,Perfume,2,375.57,751.14
2270,2025-02-23,Esporte,Garrafa Térmica,2,368.12,736.24
1705,2025-02-23,Eletrônicos,Carregador,2,446.21,892.42
1067,2025-02-24,Beleza,Creme Facial,3,155.24,465.72
1657,2025-02-24,Moda,Tênis,4,170.74,682.96
1962,2025-02-24,Beleza,Perfume,5,161.24,806.2
2281,2025-02-24,Esporte,Garrafa Térmica,1,36.73,36.73
1433,2025-02-24,Casa e Decoração,Vaso,4,494.77,1979.08
2493,2025-02-24,Moda,Calça Jeans,3,230.95,692.85
1284,2025-02-24,Moda,Tênis,5,212.22,1061.1
1395,2025-02-25,Esporte,Bola,3,369.2,1107.6
2167,2025-02-25,Beleza,Perfume,4,367.56,1470.24
2280,2025-02-25,Moda,Tênis,2,314.7,629.4
1045,2025-02-25,Moda,Calça Jeans,2,277.42,554.84
1832,2025-02-25,Esporte,Tênis de Corrida,5,79.15,395.75
1249,2025-02-25,Esporte,Luvas,1,451.65,451.65
1700,2025-02-25,Eletrônicos,Fone de Ouvido,4,230.35,921.4
1246,2025-02-25,Esporte,Bola,5,40.82,204.1
1127,2025-02-25,Beleza,Perfume,3,296.38,889.14
1023,2025-02-26,Moda,Calça Jeans,4,306.28,1225.12
2101,2025-02-26,Casa e Decoração,Tapete,4,30.92,123.68
2430,2025-02-27,Casa e Decoração,Almofada,4,72.95,291.8
1360,2025-02-28,Eletrônicos,Smartwatch,4,268.52,1074.08
1827,2025-02-28,Eletrônicos,Smartwatch,1,183.85,183.85
1184,2025-02-28,Esporte,Tênis de Corrida,2,259.22,518.44
1715,2025-03-01,Casa e Decoração,Tapete,4,254.77,1019.08
1627,2025-03-01,Esporte,Tênis de Corrida,3,339.72,1019.16
1963,2025-03-01,Beleza,Shampoo,5,410.31,2051.55
2124,2025-03-02,Moda,Jaqueta,2,369.0,738.0
1822,2025-03-02,Esporte,Tênis de Corrida,1,213.65,213.65
1443,2025-03-02,Esporte,Garrafa Térmica,2,214.6,429.2
1794,2025-03-02,Casa e Decoração,Almofada,1,258.91,258.91
1931,2025-03-02,Eletrônicos,Caixa de Som,2,452.95,905.9
1768,2025-03-02,Esporte,Tênis de Corrida,5,298.55,1492.75
1482,2025-03-02,Esporte,Bola,5,357.81,1789.05
2490,2025-03-03,Beleza,Shampoo,4,444.59,1778.36
1658,2025-03-03,Beleza,Shampoo,2,236.92,473.84
1854,2025-03-03,Esporte,Tênis de Corrida,4,153.97,615.88
2085,2025-03-03,Moda,Camiseta,4,45.98,183.92
1974,2025-03-03,Eletrônicos,Caixa de Som,5,23.18,115.9
1640,2025-03-03,Beleza,Perfume,2,127.13,254.26
1236,2025-03-04,Esporte,Tênis de Corrida,2,328.02,656.04
1103,2025-03-04,Esporte,Bola,4,340.44,1361.76
2357,2025-03-04,Esporte,Garrafa Térmica,4,318.06,1272.24
1388,2025-03-04,Casa e Decoração,Tapete,2,87.62,175.24
1995,2025-03-04,Casa e Decoração,Luminária,5,296.43,1482.15
1787,2025-03-05,Casa e Decoração,Almofada,4,440.74,1762.96
1726,2025-03-06,Eletrônicos,Caixa de Som,1,494.37,494.37
1238,2025-03-06,Beleza,Creme Facial,1,418.31,418.31
1195,2025-03-06,Beleza,Shampoo,1,439.61,439.61
1978,2025-03-07,Eletrônicos,Caixa de Som,4,471.03,1884.12
1920,2025-03-07,Beleza,Creme Facial,2,322.18,644.36
1765,2025-03-07,Casa e Decoração,Luminária,3,334.13,1002.39
1461,2025-03-07,Moda,Camiseta,1,489.68,489.68
1654,2025-03-08,Moda,Jaqueta,3,428.44,1285.32
1786,2025-03-09,Moda,Camiseta,5,262.22,1311.1
1928,2025-03-09,Eletrônicos,Fone de Ouvido,2,270.9,541.8
2367,2025-03-09,Casa e Decoração,Luminária,3,128.86,386.58
1990,2025-03-10,Beleza,Shampoo,4,164.02,656.08
1606,2025-03-10,Moda,Camiseta,5,290.38,1451.9
1458,2025-03-11,Esporte,Garrafa Térmica,4,235.3,941.2
2017,2025-03-11,Casa e Decoração,Vaso,4,276.85,1107.4
1363,2025-03-11,Eletrônicos,Caixa de Som,2,451.37,902.74
2431,2025-03-11,Esporte,Garrafa Térmica,3,287.42,862.26
2235,2025-03-11,Eletrônicos,Smartwatch,4,432.87,1731.48
1675,2025-03-12,Esporte,Bola,5,139.59,697.95
1424,2025-03-12,Eletrônicos,Smartwatch,2,44.37,88.74
1793,2025-03-12,Esporte,Tênis de Corrida,5,365.01,1825.05
1022,2025-03-12,Beleza,Batom,1,382.78,382.78
1915,2025-03-13,Esporte,Bola,2,57.0,114.0
1513,2025-03-13,Eletrônicos,Carregador,1,66.89,66.89
1611,2025-03-13,Moda,Jaqueta,1,139.12,139.12
2379,2025-03-13,Beleza,Perfume,3,31.9,95.7
1665,2025-03-13,Eletrônicos,Fone de Ouvido,1,418.58,418.58
2222,2025-03-13,Beleza,Perfume,2,337.22,674.44
1002,2025-03-13,Eletrônicos,Fone de Ouvido,5,222.52,1112.6
1046,2025-03-13,Esporte,Bola,3,242.06,726.18
2489,2025-03-13,Moda,Camiseta,5,372.55,1862.75
2104,2025-03-14,Eletrônicos,Caixa de Som,5,454.9,2274.5
1884,2025-03-14,Eletrônicos,Fone de Ouvido,1,294.9,294.9
1650,2025-03-14,Casa e Decoração,Almofada,1,462.21,462.21
2416,2025-03-14,Moda,Jaqueta,2,120.72,241.44
1401,2025-03-15,Moda,Tênis,5,39.32,196.6
1207,2025-03-15,Moda,Tênis,3,240.59,721.77
1470,2025-03-15,Beleza,Creme Facial,4,164.24,656.96
2208,2025-03-15,Beleza,Shampoo,3,208.2,624.6
1267,2025-03-15,Beleza,Batom,1,88.1,88.1
1332,2025-03-15,Casa e Decoração,Tapete,1,315.11,315.11
2402,2025-03-16,Casa e Decoração,Tapete,2,191.55,383.1
1241,2025-03-16,Moda,Jaqueta,2,72.76,145.52
1421,2025-03-16,Casa e Decoração,Almofada,3,478.55,1435.65
1999,2025-03-16,Moda,Jaqueta,4,323.01,1292.04
2031,2025-03-16,Eletrônicos,Carregador,4,54.26,217.04
2262,2025-03-16,Beleza,Batom,1,158.62,158.62
2100,2025-03-17,Casa e Decoração,Almofada,3,353.02,1059.06
1074,2025-03-17,Esporte,Bola,1,167.96,167.96
2443,2025-03-17,Esporte,Tênis de Corrida,1,140.33,140.33
2373,2025-03-17,Casa e Decoração,Tapete,5,488.22,2441.1
1731,2025-03-17,Beleza,Perfume,1,290.09,290.09
1240,2025-03-17,Beleza,Perfume,3,432.03,1296.09
2151,2025-03-18,Moda,Calça Jeans,2,389.2,778.4
1403,2025-03-18,Beleza,Creme Facial,3,467.06,1401.18
2320,2025-03-18,Esporte,Luvas,2,96.68,193.36
1989,2025-03-18,Esporte,Tênis de Corrida,2,222.33,444.66
1799,2025-03-18,Eletrônicos,Fone de Ouvido,1,454.29,454.29
1771,2025-03-19,Moda,Calça Jeans,3,216.41,649.23
2044,2025-03-20,Beleza,Perfume,2,254.16,508.32
2119,2025-03-20,Esporte,Garrafa Térmica,5,178.06,890.3
1029,2025-03-20,Casa e Decoração,Luminária,5,477.68,2388.4
1623,2025-03-20,Casa e Decoração,Almofada,3,57.93,173.79
1940,2025-03-21,Esporte,Garrafa Térmica,3,430.39,1291.17
1310,2025-03-21,Eletrônicos,Carregador,1,263.69,263.69
1232,2025-03-21,Esporte,Tênis de Corrida,4,315.51,1262.04
2008,2025-03-21,Eletrônicos,Caixa de Som,3,130.09,390.27
2016,2025-03-21,Casa e Decoração,Almofada,1,271.19,271.19
1596,2025-03-22,Esporte,Luvas,1,496.08,496.08
1817,2025-03-22,Beleza,Batom,4,437.32,1749.28
2311,2025-03-22,Eletrônicos,Caixa de Som,1,23.05,23.05
2455,2025-03-22,Beleza,Perfume,4,146.43,585.72
2070,2025-03-22,Beleza,Batom,3,453.19,1359.57
2114,2025-03-22,Eletrônicos,Carregador,3,190.58,571.74
1209,2025-03-22,Eletrônicos,Caixa de Som,3,494.07,1482.21
1556,2025-03-23,Casa e Decoração,Tapete,4,131.29,525.16
1390,2025-03-23,Casa e Decoração,Vaso,2,386.3,772.6
2215,2025-03-23,Esporte,Luvas,1,183.54,183.54
1906,2025-03-23,Moda,Calça Jeans,4,470.8,1883.2
1006,2025-03-23,Esporte,Garrafa Térmica,3,94.63,283.89
1741,2025-03-23,Eletrônicos,Carregador,5,213.62,1068.1
1318,2025-03-24,Moda,Calça Jeans,3,45.05,135.15
1706,2025-03-24,Eletrônicos,Fone de Ouvido,3,305.13,915.39
1846,2025-03-24,Casa e Decoração,Vaso,2,422.9,845.8
1992,2025-03-25,Eletrônicos,Smartwatch,3,248.74,746.22
1015,2025-03-25,Esporte,Luvas,3,494.97,1484.91
2410,2025-03-25,Eletrônicos,Smartwatch,2,261.62,523.24
1749,2025-03-25,Beleza,Creme Facial,2,330.74,661.48
1034,2025-03-26,Casa e Decoração,Tapete,2,465.88,931.76
1167,2025-03-26,Casa e Decoração,Vaso,4,79.69,318.76
1050,2025-03-26,Esporte,Tênis de Corrida,4,147.3,589.2
1708,2025-03-26,Beleza,Batom,2,45.71,91.42
1829,2025-03-26,Esporte,Bola,4,71.34,285.36
2040,2025-03-27,Casa e Decoração,Almofada,4,398.79,1595.16
2069,2025-03-27,Moda,Tênis,5,182.01,910.05
2462,2025-03-28,Eletrônicos,Carregador,1,241.24,241.24
1286,2025-03-28,Eletrônicos,Fone de Ouvido,5,264.78,1323.9
2010,2025-03-29,Eletrônicos,Fone de Ouvido,3,432.98,1298.94
1410,2025-03-29,Beleza,Batom,2,414.4,828.8
1764,2025-03-29,Beleza,Creme Facial,3,66.85,200.55
2211,2025-03-29,Casa e Decoração,Vaso,5,295.85,1479.25
2231,2025-03-30,Esporte,Bola,2,286.6,573.2
1663,2025-03-31,Eletrônicos,Caixa de Som,4,286.86,1147.44
1172,2025-03-31,Esporte,Luvas,3,107.11,321.33
1694,2025-03-31,Esporte,Garrafa Térmica,3,81.13,243.39
1952,2025-03-31,Esporte,Luvas,1,116.82,116.82
2370,2025-03-31,Moda,Calça Jeans,2,76.12,152.24
1980,2025-03-31,Esporte,Tênis de Corrida,5,240.83,1204.15
2255,2025-03-31,Casa e Decoração,Luminária,4,106.79,427.16
1685,2025-03-31,Esporte,Tênis de Corrida,1,46.96,46.96
1688,2025-04-01,Casa e Decoração,Almofada,1,90.9,90.9
1853,2025-04-01,Eletrônicos,Smartwatch,2,372.84,745.68
1774,2025-04-01,Casa e Decoração,Almofada,1,236.99,236.99
2291,2025-04-01,Beleza,Perfume,4,337.15,1348.6
1970,2025-04-02,Esporte,Garrafa Térmica,3,124.91,374.73
2312,2025-04-02,Eletrônicos,Carregador,4,352.88,1411.52
2067,2025-04-02,Beleza,Batom,1,387.82,387.82
1349,2025-04-03,Beleza,Shampoo,3,69.25,207.75
1773,2025-04-03,Eletrônicos,Caixa de Som,3,322.9,968.7
1922,2025-04-03,Beleza,Batom,5,485.24,2426.2
1926,2025-04-04,Beleza,Shampoo,2,367.61,735.22
2024,2025-04-04,Moda,Jaqueta,1,325.71,325.71
2372,2025-04-05,Moda,Camiseta,3,489.45,1468.35
2428,2025-04-05,Esporte,Tênis de Corrida,2,420.68,841.36
2127,2025-04-05,Eletrônicos,Carregador,5,292.18,1460.9
2422,2025-04-05,Casa e Decoração,Almofada,1,89.87,89.87
1887,2025-04-05,Moda,Jaqueta,2,75.02,150.04
1672,2025-04-06,Casa e Decoração,Vaso,4,444.04,1776.16
2238,2025-04-06,Esporte,Tênis de Corrida,5,259.12,1295.6
1983,2025-04-06,Beleza,Shampoo,2,149.32,298.64
1570,2025-04-06,Casa e Decoração,Tapete,5,45.73,228.65
2411,2025-04-07,Beleza,Perfume,4,241.04,964.16
1464,2025-04-07,Eletrônicos,Fone de Ouvido,4,315.16,1260.64
2020,2025-04-07,Esporte,Luvas,4,139.95,559.8
1614,2025-04-07,Esporte,Garrafa Térmica,1,396.22,396.22
2066,2025-04-08,Moda,Calça Jeans,5,320.16,1600.8
1187,2025-04-08,Beleza,Creme Facial,1,152.6,152.6
1344,2025-04-08,Casa e Decoração,Vaso,1,435.58,435.58
2426,2025-04-09,Casa e Decoração,Luminária,5,22.08,110.4
1147,2025-04-09,Casa e Decoração,Almofada,5,476.42,2382.1
1869,2025-04-09,Casa e Decoração,Almofada,1,100.35,100.35
1892,2025-04-10,Casa e Decoração,Tapete,4,177.61,710.44
1531,2025-04-11,Esporte,Tênis de Corrida,2,166.24,332.48
2439,2025-04-12,Casa e Decoração,Luminária,5,425.13,2125.65
1211,2025-04-12,Esporte,Luvas,1,133.86,133.86
1890,2025-04-12,Beleza,Batom,3,191.43,574.29
2092,2025-04-12,Esporte,Luvas,5,114.13,570.65
2205,2025-04-12,Beleza,Perfume,4,292.54,1170.16
1342,2025-04-13,Eletrônicos,Carregador,3,267.38,802.14
1428,2025-04-13,Casa e Decoração,Vaso,3,330.03,990.09
2106,2025-04-13,Beleza,Shampoo,1,243.18,243.18
1367,2025-04-13,Moda,Calça Jeans,4,32.62,130.48
